category,entity,frequency,reason
产业,制造业,2592,国家支柱制造产业
产业,生物医药,2415,医药健康领域核心产业
产业,新能源汽车,2349,未来能源产业新领域
产业,医疗,1546,医疗服务行业主体
产业,教育,2038,教育行业重要支柱
产业,电子,843,电子产品制造行业
产业,集成电路,1086,关键电子器件制造
产业,文旅,462,文化旅游综合产业
产业,汽车,2808,汽车制造核心产业
产业,房地产,198,房地产业重要组成
产业,建筑,651,建筑行业基础支柱
产业,化工,153,化工原料制造产业
产业,纺织,120,传统纺织行业代表
产业,航天,665,航空航天产业领域
产业,船舶,105,船舶制造行业
产业,航运,139,海运运输行业
产业,农业,620,农业生产基础产业
产业,旅游,998,旅游服务重要产业
产业,餐饮,136,餐饮服务行业代表
产业,传媒,74,传媒信息产业领域
技术,研发,5054,技术创新核心活动
技术,智能,3698,智能化应用技术
技术,数据,2493,数据驱动业务关键
技术,人工智能,2334,智能化技术核心
技术,互联网,2215,网络信息基础技术
技术,数字化,2049,业务数字化转型
技术,科研,1019,科学研究技术基础
技术,网络,961,网络通信底层技术
技术,半导体,945,电子元器件关键
技术,通信,641,通信网络核心技术
技术,智能化,720,生产智能化升级
技术,5G,737,新一代移动通信
技术,专利,683,知识产权保护技术
技术,芯片,540,集成电路核心部件
技术,计算,499,计算能力基础技术
技术,自动化,391,自动化生产技术
技术,信息化,368,信息系统建设技术
技术,算法,189,数据处理核心方法
技术,氢能,133,新能源技术方向
技术,VR,66,虚拟现实新兴技术
资本,投资,4418,资金投入行为主体
资本,金融,3992,金融服务与管理
资本,基金,2639,投资运作主要工具
资本,融资,1984,企业资金获取方式
资本,资本,1710,经济活动资金要素
资本,上市,1493,企业公开募股过程
资本,股份,952,公司所有权单位
资本,股权,602,公司所有权结构
资本,银行,1104,金融机构核心主体
资本,证券,680,资本市场交易工具
资本,债券,288,固定收益融资方式
资本,保险,256,风险管理融资工具
资本,并购,208,企业重组资本运作
资本,私募,162,非公开融资方式
资本,IPO,114,首次公开募股流程
资本,期货,64,衍生品投资工具
资本,股票,74,股票市场交易工具
资本,贷款,570,银行借贷融资方式
资本,风险投资,31,高风险高回报融资
资本,理财,49,个人理财投资工具
